Age,Gender,Year_of_Study,Monthly_Income_AED,Living,Transport_Mode,Order_Frequency,Order_Time,Preferred_Cuisines,Choice_Factors,Accept_Delay_for_Freshness,Uses_Apps,Used_Apps,Satisfaction_Score,Multi_Restaurant_Order,Willing_to_Wait_for_Fresh_Food,Max_Willingness_to_Pay_AED,Wants_Personal_Suggestions,Likes_Bundle_Deals,Cares_About_Sustainability,Empathy_Preference,Biggest_Frustration,Common_Problems,Sustainable_Rewards,Loyalty_Likelihood
20,Female,Postgraduate,1927,Off-campus,Public Transport,1-2,Dinner,"Others, Italian, Indian","Reviews, Speed",Yes,No,None,2,Yes,Yes,30,Yes,Maybe,Somewhat,No,Limited menu,"Limited variety, Poor packaging, Cold food",No,1
20,Male,Postgraduate,2324,On-campus,Bike,3-5,Dinner,Italian,"Price, Speed, Variety",Yes,Yes,Uber Eats,1,Maybe,Yes,23,No,No,Yes,Doesn’t matter,Limited menu,"Cold food, Poor packaging",Maybe,2
19,Male,Postgraduate,2035,Off-campus,Walk,3-5,Late night,"Italian, Others, Healthy","Reviews, Speed",Maybe,Yes,"Talabat, Others, Zomato",5,No,No,10,Yes,No,No,Yes,No tracking,Limited variety,Maybe,2
22,Male,3rd Year,1135,Off-campus,Walk,6+,Late night,Chinese,"Variety, Quality",No,Yes,Talabat,4,Yes,Yes,17,Yes,Yes,Yes,Doesn’t matter,No tracking,"Late delivery, High price",Yes,4
19,Female,Postgraduate,1680,Off-campus,Ride-hailing,3-5,Varies,Healthy,"Price, Reviews",Maybe,No,None,4,No,Yes,16,Yes,No,Yes,Yes,Limited menu,"Late delivery, Poor packaging",No,5
22,Female,4th Year,853,On-campus,Public Transport,1-2,Lunch,"Fast Food, Indian, Chinese","Speed, Quality",Maybe,Yes,Zomato,3,Yes,Maybe,23,Maybe,Yes,Yes,No,High prices,"Cold food, High price",Maybe,1
21,Male,1st Year,1786,Off-campus,Bike,1-2,Dinner,"Others, Indian, Healthy","Sustainability, Speed",No,Yes,Uber Eats,4,No,Yes,31,No,Maybe,No,Yes,Limited menu,"Limited variety, Cold food, High price",No,4
21,Male,2nd Year,1725,Off-campus,Bike,6+,Lunch,"Healthy, Chinese, Fast Food","Variety, Reviews, Sustainability",Maybe,No,None,1,Yes,Yes,32,Maybe,Yes,Somewhat,Doesn’t matter,Limited menu,High price,No,2
19,Male,4th Year,565,Off-campus,Walk,3-5,Breakfast,"Fast Food, Italian","Variety, Quality, Price",No,Yes,"Others, Uber Eats",4,Maybe,Yes,40,No,Maybe,Somewhat,Yes,Late delivery,Poor packaging,No,4
20,Female,1st Year,919,On-campus,Ride-hailing,1-2,Lunch,Italian,"Reviews, Price, Sustainability",Maybe,Yes,"Others, Uber Eats",1,Yes,No,34,No,No,No,Doesn’t matter,High prices,Limited variety,Yes,4
23,Female,3rd Year,1358,Off-campus,Walk,1-2,Breakfast,"Others, Italian","Reviews, Sustainability",Yes,Yes,Talabat,1,Yes,Yes,11,Maybe,No,Yes,Doesn’t matter,Late delivery,"Cold food, Limited variety",Maybe,1
23,Male,3rd Year,1349,Off-campus,Walk,3-5,Late night,"Healthy, Indian, Others","Reviews, Price",Yes,Yes,Uber Eats,2,Yes,Yes,35,No,No,Yes,No,Limited menu,Poor packaging,No,1
19,Male,1st Year,895,On-campus,Ride-hailing,1-2,Late night,Chinese,"Sustainability, Price, Quality",Yes,Yes,Zomato,3,Yes,No,42,No,Yes,Yes,Yes,Late delivery,"Late delivery, High price, Limited variety",Maybe,1
22,Male,3rd Year,1694,On-campus,Public Transport,1-2,Varies,"Indian, Others, Italian","Sustainability, Price, Quality",No,Yes,"Uber Eats, Others",5,No,Yes,41,Maybe,Maybe,Somewhat,Doesn’t matter,Cold food,Late delivery,No,5
23,Prefer not to say,4th Year,1625,Off-campus,Bike,1-2,Lunch,"Others, Fast Food","Variety, Reviews, Price",No,Yes,"Talabat, Uber Eats, Zomato",1,Yes,Yes,12,Yes,Maybe,Somewhat,No,High prices,"Late delivery, Limited variety",Maybe,4
18,Male,2nd Year,1402,On-campus,Public Transport,1-2,Lunch,"Healthy, Fast Food","Speed, Sustainability, Reviews",Yes,Yes,"Others, Zomato, Uber Eats",3,Yes,Yes,23,No,Maybe,No,No,No tracking,"High price, Poor packaging, Cold food",Maybe,4
23,Female,1st Year,1122,On-campus,Personal Vehicle,1-2,Breakfast,"Italian, Chinese","Reviews, Variety",Yes,Yes,Uber Eats,5,Yes,No,34,Maybe,Maybe,No,No,High prices,"Limited variety, Late delivery",Maybe,5
20,Female,1st Year,2024,Off-campus,Personal Vehicle,3-5,Late night,"Indian, Italian, Fast Food","Reviews, Speed, Quality",Maybe,Yes,"Uber Eats, Zomato, Talabat",4,Yes,Maybe,13,No,Maybe,Somewhat,Doesn’t matter,Limited menu,"High price, Limited variety, Poor packaging",No,2
23,Male,2nd Year,2327,Off-campus,Personal Vehicle,1-2,Breakfast,Italian,"Price, Sustainability, Speed",No,No,None,3,Yes,Maybe,10,Maybe,Yes,Yes,Yes,Late delivery,Limited variety,Yes,3
20,Male,Postgraduate,3774,On-campus,Ride-hailing,1-2,Late night,"Others, Healthy, Fast Food","Price, Reviews",Yes,Yes,"Zomato, Talabat",3,Yes,Maybe,28,Yes,Maybe,Yes,Doesn’t matter,Late delivery,"Limited variety, Poor packaging",Maybe,2
18,Male,1st Year,1193,Off-campus,Walk,1-2,Breakfast,"Others, Italian, Indian","Sustainability, Reviews, Price",No,Yes,"Talabat, Zomato, Uber Eats",3,Yes,No,18,No,No,Yes,No,High prices,"Late delivery, High price, Limited variety",Yes,5
18,Female,3rd Year,1745,On-campus,Public Transport,1-2,Late night,Fast Food,"Speed, Quality, Reviews",No,Yes,"Zomato, Uber Eats, Talabat",4,Yes,No,10,Yes,Maybe,Yes,Doesn’t matter,Cold food,Late delivery,Maybe,4
22,Female,1st Year,1320,On-campus,Bike,1-2,Breakfast,"Indian, Others, Chinese","Reviews, Sustainability, Speed",Maybe,No,None,4,Yes,No,37,Yes,No,No,Doesn’t matter,No tracking,Late delivery,Yes,4
22,Female,2nd Year,1430,On-campus,Personal Vehicle,1-2,Late night,"Chinese, Others","Speed, Reviews",Yes,Yes,"Zomato, Others",3,Maybe,Yes,26,Maybe,Yes,No,No,Cold food,Cold food,Maybe,1
19,Female,4th Year,1869,Off-campus,Public Transport,3-5,Breakfast,"Italian, Others","Speed, Price, Reviews",Yes,Yes,"Zomato, Talabat, Uber Eats",2,No,Yes,19,No,Yes,Somewhat,Yes,High prices,High price,Yes,1
23,Male,4th Year,545,On-campus,Personal Vehicle,0,Lunch,Indian,"Sustainability, Variety",Yes,No,None,1,Yes,Yes,15,No,No,No,No,High prices,"Limited variety, Cold food, Late delivery",Maybe,4
18,Prefer not to say,1st Year,2159,On-campus,Personal Vehicle,0,Varies,"Others, Fast Food","Quality, Price",Yes,Yes,"Others, Uber Eats, Zomato",4,No,Yes,26,No,Maybe,Yes,No,No tracking,Cold food,Maybe,4
21,Female,2nd Year,1536,Off-campus,Bike,0,Breakfast,Chinese,"Price, Speed, Variety",Maybe,No,None,2,Maybe,No,30,No,Yes,Somewhat,Doesn’t matter,High prices,"High price, Late delivery, Poor packaging",Yes,1
18,Male,1st Year,1294,Off-campus,Ride-hailing,3-5,Varies,"Healthy, Chinese","Quality, Speed, Sustainability",Yes,No,None,4,Yes,Yes,28,No,Yes,No,No,Late delivery,High price,Maybe,1
20,Prefer not to say,2nd Year,1455,On-campus,Walk,6+,Lunch,"Healthy, Italian, Indian","Quality, Sustainability",Maybe,No,None,3,Maybe,Yes,10,Maybe,Yes,No,Doesn’t matter,High prices,Late delivery,No,2
22,Female,3rd Year,1481,Off-campus,Ride-hailing,0,Lunch,"Others, Indian","Speed, Quality",Yes,Yes,"Talabat, Zomato",2,Yes,Yes,29,No,Maybe,No,No,Limited menu,High price,Maybe,4
19,Female,1st Year,634,On-campus,Public Transport,6+,Late night,"Indian, Fast Food","Variety, Quality, Sustainability",Maybe,Yes,Talabat,5,Maybe,Maybe,31,Yes,No,No,No,No tracking,High price,Maybe,4
21,Female,2nd Year,2247,Off-campus,Ride-hailing,1-2,Varies,Italian,"Sustainability, Reviews",Yes,Yes,Uber Eats,1,Yes,No,21,Yes,No,No,Yes,Cold food,"Poor packaging, Limited variety",No,5
24,Female,2nd Year,1520,Off-campus,Public Transport,3-5,Dinner,"Fast Food, Healthy, Others","Quality, Variety, Speed",Maybe,Yes,"Others, Talabat",1,Yes,Yes,35,No,Maybe,Yes,No,High prices,"Cold food, Poor packaging",No,2
20,Female,Postgraduate,1721,Off-campus,Public Transport,1-2,Late night,"Others, Fast Food, Italian","Quality, Speed",Maybe,Yes,"Zomato, Talabat, Uber Eats",4,Yes,Yes,16,Maybe,Yes,Yes,Yes,Cold food,"Limited variety, Late delivery, Poor packaging",No,3
24,Male,Postgraduate,1975,On-campus,Walk,3-5,Varies,Fast Food,"Reviews, Variety",Maybe,Yes,"Zomato, Talabat, Uber Eats",1,Maybe,Yes,37,Maybe,Maybe,Yes,No,Cold food,"Cold food, Limited variety",Yes,3
19,Male,1st Year,989,On-campus,Bike,3-5,Breakfast,Italian,"Quality, Speed, Reviews",Yes,Yes,"Talabat, Others",5,No,Yes,26,No,Maybe,No,No,Late delivery,"Limited variety, Late delivery, High price",No,3
23,Non-binary,4th Year,1736,On-campus,Walk,1-2,Breakfast,Healthy,"Variety, Reviews, Quality",Yes,Yes,Uber Eats,2,Yes,Yes,20,Yes,No,Somewhat,No,Limited menu,"Cold food, Limited variety, High price",Yes,1
25,Male,2nd Year,1366,On-campus,Ride-hailing,3-5,Lunch,"Others, Italian","Variety, Sustainability, Price",No,Yes,"Uber Eats, Talabat",2,Yes,No,21,No,Maybe,Yes,Yes,No tracking,"High price, Poor packaging",No,3
18,Male,2nd Year,1923,On-campus,Public Transport,3-5,Dinner,Fast Food,"Reviews, Sustainability",Yes,Yes,Zomato,3,Yes,Yes,34,No,Maybe,Yes,Doesn’t matter,Cold food,"Limited variety, Cold food, Late delivery",Yes,5
20,Male,4th Year,436,Off-campus,Personal Vehicle,1-2,Breakfast,Chinese,"Quality, Speed",Yes,Yes,"Zomato, Uber Eats, Others",2,Yes,Yes,27,No,Yes,No,Yes,Late delivery,"High price, Late delivery",No,1
23,Male,Postgraduate,1450,Off-campus,Personal Vehicle,1-2,Varies,"Healthy, Fast Food","Quality, Price",Yes,Yes,"Others, Talabat",4,Yes,Yes,31,Maybe,Yes,Somewhat,No,High prices,"Poor packaging, Cold food",No,1
21,Female,Postgraduate,1198,Off-campus,Public Transport,1-2,Varies,"Indian, Fast Food, Italian","Price, Sustainability",No,Yes,"Uber Eats, Others, Zomato",5,Yes,Yes,35,Maybe,No,Yes,Doesn’t matter,Cold food,"Cold food, Late delivery, Limited variety",Maybe,3
22,Non-binary,3rd Year,1716,Off-campus,Walk,3-5,Breakfast,"Italian, Chinese, Others","Sustainability, Reviews",No,Yes,"Talabat, Others, Uber Eats",3,Maybe,Yes,19,Yes,Yes,Yes,No,Cold food,"Late delivery, Cold food",No,1
20,Male,2nd Year,1735,Off-campus,Bike,3-5,Varies,Indian,"Sustainability, Speed, Price",Yes,Yes,Others,4,No,Yes,26,Yes,Maybe,Somewhat,Yes,High prices,Cold food,Maybe,2
22,Male,4th Year,1146,Off-campus,Walk,1-2,Varies,"Others, Indian, Chinese","Sustainability, Reviews, Variety",Yes,Yes,"Uber Eats, Zomato",4,Yes,Yes,22,No,Maybe,No,Yes,High prices,"Limited variety, Cold food",No,2
21,Male,2nd Year,1143,On-campus,Public Transport,3-5,Lunch,"Italian, Chinese","Quality, Variety",Yes,Yes,Uber Eats,4,Yes,Maybe,35,Yes,Maybe,Somewhat,Doesn’t matter,Limited menu,"Late delivery, High price",No,3
24,Female,3rd Year,1444,Off-campus,Public Transport,6+,Dinner,Indian,"Sustainability, Quality",No,Yes,Talabat,1,Maybe,Yes,21,No,No,No,Yes,Late delivery,Poor packaging,Maybe,5
22,Female,2nd Year,1051,Off-campus,Bike,3-5,Lunch,Italian,"Variety, Sustainability",Yes,Yes,"Uber Eats, Others",4,No,Yes,25,Yes,Yes,Yes,No,High prices,"Poor packaging, High price, Cold food",Maybe,1
22,Male,3rd Year,1920,Off-campus,Ride-hailing,3-5,Dinner,Chinese,"Variety, Quality",Yes,Yes,"Zomato, Talabat",1,No,Yes,47,No,Maybe,Somewhat,Doesn’t matter,High prices,"Limited variety, Cold food, High price",Yes,4
20,Female,1st Year,1315,Off-campus,Ride-hailing,3-5,Varies,"Chinese, Indian, Others","Reviews, Speed",Maybe,Yes,Others,2,Maybe,No,37,Maybe,Yes,Somewhat,No,Limited menu,Cold food,Maybe,3
20,Female,1st Year,100,On-campus,Bike,1-2,Dinner,"Fast Food, Others, Healthy","Sustainability, Speed",Maybe,Yes,"Others, Talabat",1,No,Yes,14,No,Yes,Yes,Doesn’t matter,No tracking,High price,Yes,1
20,Female,Postgraduate,1312,On-campus,Ride-hailing,1-2,Varies,"Healthy, Others, Italian","Speed, Reviews, Sustainability",Maybe,Yes,"Others, Zomato, Uber Eats",4,Yes,No,34,Maybe,Yes,Yes,Doesn’t matter,Limited menu,"Limited variety, Cold food",No,3
22,Non-binary,1st Year,980,Off-campus,Personal Vehicle,3-5,Varies,"Italian, Chinese, Fast Food","Quality, Price, Speed",Maybe,No,None,5,Yes,Maybe,31,Maybe,Yes,No,No,Cold food,"Cold food, Late delivery",Maybe,3
20,Male,3rd Year,684,On-campus,Ride-hailing,1-2,Lunch,Fast Food,"Speed, Price, Quality",Yes,Yes,"Uber Eats, Others, Zomato",5,Maybe,Yes,13,Yes,No,Yes,Yes,High prices,"Limited variety, Cold food",Maybe,5
22,Female,1st Year,881,Off-campus,Ride-hailing,6+,Lunch,"Others, Italian","Speed, Price, Reviews",No,No,None,2,Yes,No,23,Yes,No,Yes,No,No tracking,"High price, Late delivery, Limited variety",No,4
27,Female,1st Year,1554,Off-campus,Ride-hailing,0,Late night,"Healthy, Indian","Variety, Reviews, Sustainability",Yes,Yes,"Others, Uber Eats",4,Yes,Maybe,15,Maybe,No,Somewhat,Yes,Late delivery,"Late delivery, Poor packaging",No,1
24,Female,1st Year,2164,Off-campus,Personal Vehicle,0,Breakfast,"Healthy, Indian","Price, Quality",No,Yes,"Uber Eats, Talabat, Zomato",1,Yes,Yes,10,No,Maybe,No,Yes,Late delivery,Late delivery,No,3
21,Female,1st Year,1656,Off-campus,Ride-hailing,6+,Late night,"Fast Food, Others","Reviews, Sustainability",Yes,Yes,Talabat,5,No,No,23,No,Maybe,Yes,No,No tracking,"Cold food, High price",No,3
25,Female,4th Year,1196,On-campus,Personal Vehicle,3-5,Late night,Indian,"Reviews, Quality, Speed",No,Yes,"Others, Uber Eats, Zomato",3,Maybe,Yes,19,Yes,Maybe,Somewhat,Doesn’t matter,Late delivery,Limited variety,Maybe,1
20,Female,2nd Year,1727,On-campus,Bike,1-2,Dinner,"Italian, Indian","Reviews, Variety, Quality",No,Yes,Others,4,Yes,Yes,13,No,No,Yes,No,High prices,"Poor packaging, Limited variety, Cold food",No,3
18,Male,Postgraduate,1270,Off-campus,Walk,3-5,Varies,"Indian, Healthy, Fast Food","Sustainability, Quality",Yes,Yes,Uber Eats,4,Yes,No,24,No,Yes,Yes,Doesn’t matter,Late delivery,"Late delivery, Poor packaging",No,3
19,Female,3rd Year,1152,Off-campus,Bike,3-5,Varies,"Healthy, Others","Speed, Sustainability, Variety",No,Yes,"Zomato, Others",3,Maybe,No,10,No,No,Yes,Yes,High prices,"Limited variety, Cold food",Maybe,3
18,Prefer not to say,2nd Year,922,Off-campus,Walk,3-5,Varies,"Indian, Fast Food, Chinese","Quality, Variety, Sustainability",Yes,Yes,Talabat,5,Yes,Maybe,25,Maybe,Maybe,Yes,Doesn’t matter,High prices,Limited variety,Yes,2
21,Non-binary,3rd Year,624,On-campus,Bike,0,Breakfast,"Healthy, Fast Food","Sustainability, Speed",Yes,Yes,"Talabat, Uber Eats, Others",3,Yes,Yes,25,Maybe,Maybe,No,No,High prices,"Limited variety, High price, Late delivery",Maybe,2
22,Male,3rd Year,1305,On-campus,Walk,3-5,Dinner,"Chinese, Indian, Fast Food","Speed, Reviews, Price",Yes,Yes,"Others, Talabat",2,Maybe,Yes,31,No,Yes,Somewhat,Doesn’t matter,Late delivery,"High price, Poor packaging",Yes,4
26,Male,4th Year,1579,Off-campus,Walk,6+,Dinner,Italian,"Speed, Reviews, Sustainability",Yes,No,None,1,Yes,Yes,10,Yes,No,Somewhat,Yes,High prices,Late delivery,No,5
22,Male,2nd Year,1451,On-campus,Public Transport,1-2,Varies,"Indian, Healthy, Chinese","Quality, Sustainability",Yes,Yes,"Talabat, Others, Zomato",1,Yes,Yes,46,No,Yes,Yes,Yes,Limited menu,"Limited variety, Poor packaging, Late delivery",Maybe,1
21,Female,2nd Year,1292,Off-campus,Walk,6+,Late night,Chinese,"Reviews, Speed",Maybe,Yes,"Uber Eats, Talabat, Zomato",5,No,Yes,42,Yes,No,Somewhat,Doesn’t matter,Limited menu,"Cold food, Limited variety",No,5
24,Female,4th Year,1027,On-campus,Walk,6+,Breakfast,"Fast Food, Others, Chinese","Quality, Price, Variety",Yes,Yes,Others,3,Yes,Yes,17,Maybe,Maybe,Yes,Yes,High prices,Poor packaging,Maybe,5
18,Male,Postgraduate,1804,Off-campus,Public Transport,3-5,Late night,"Italian, Others","Variety, Speed, Sustainability",Yes,Yes,"Talabat, Others",4,Maybe,Yes,39,No,Yes,Somewhat,Yes,High prices,"Poor packaging, Limited variety",Yes,2
22,Female,4th Year,841,Off-campus,Ride-hailing,3-5,Lunch,"Fast Food, Italian","Price, Speed, Reviews",Yes,Yes,"Talabat, Zomato",4,Yes,Yes,33,No,Yes,No,Doesn’t matter,Limited menu,"Limited variety, Late delivery, High price",Maybe,4
23,Female,2nd Year,1888,Off-campus,Ride-hailing,1-2,Dinner,"Healthy, Indian, Italian","Sustainability, Reviews",No,Yes,Talabat,4,Yes,Yes,20,Yes,No,No,Yes,Late delivery,Cold food,No,5
18,Female,4th Year,998,On-campus,Public Transport,1-2,Dinner,Italian,"Speed, Sustainability",No,Yes,Others,2,Yes,Maybe,18,Yes,No,Somewhat,Doesn’t matter,No tracking,Cold food,Maybe,5
24,Female,2nd Year,1123,Off-campus,Personal Vehicle,3-5,Late night,Healthy,"Sustainability, Speed",No,No,None,2,Yes,No,19,No,No,Yes,Doesn’t matter,No tracking,Late delivery,No,3
22,Female,2nd Year,766,Off-campus,Walk,6+,Breakfast,"Fast Food, Italian, Healthy","Speed, Quality",No,Yes,Uber Eats,4,Maybe,Yes,53,No,Maybe,Yes,Yes,Cold food,Poor packaging,Maybe,1
20,Female,1st Year,1249,Off-campus,Walk,3-5,Dinner,"Others, Healthy, Chinese","Sustainability, Variety",Maybe,No,None,5,No,Maybe,38,Yes,No,Yes,Doesn’t matter,High prices,"Cold food, Late delivery",Yes,4
23,Male,3rd Year,1987,Off-campus,Public Transport,3-5,Late night,"Indian, Healthy","Reviews, Quality",Maybe,No,None,2,Maybe,No,22,Maybe,Maybe,Yes,Yes,High prices,"Late delivery, High price, Poor packaging",Maybe,1
27,Female,1st Year,1757,Off-campus,Public Transport,1-2,Breakfast,"Chinese, Italian, Healthy","Speed, Variety",No,Yes,"Talabat, Zomato, Others",2,Yes,Maybe,23,Yes,No,No,Yes,High prices,"Limited variety, Poor packaging, Cold food",Maybe,2
22,Female,2nd Year,1989,Off-campus,Personal Vehicle,0,Late night,"Others, Fast Food, Chinese","Variety, Speed, Sustainability",Yes,Yes,"Others, Uber Eats, Talabat",1,No,Yes,33,No,No,Yes,Yes,No tracking,Cold food,Maybe,5
22,Female,4th Year,1761,Off-campus,Ride-hailing,1-2,Breakfast,"Others, Indian, Italian","Sustainability, Speed, Reviews",No,Yes,Zomato,1,Yes,Yes,33,Maybe,Maybe,Yes,No,High prices,"High price, Limited variety, Late delivery",Maybe,5
20,Female,1st Year,948,On-campus,Bike,0,Varies,"Fast Food, Italian, Chinese","Speed, Quality, Variety",No,Yes,"Talabat, Uber Eats",5,Maybe,Maybe,15,Maybe,No,Yes,Yes,Limited menu,Cold food,Yes,1
19,Female,1st Year,1334,On-campus,Ride-hailing,3-5,Breakfast,"Others, Healthy, Indian","Speed, Variety",No,Yes,Zomato,2,No,Yes,27,Maybe,Maybe,Yes,Doesn’t matter,High prices,"High price, Poor packaging",No,2
24,Male,1st Year,1109,On-campus,Walk,1-2,Lunch,"Others, Fast Food, Italian","Speed, Price, Sustainability",Maybe,Yes,"Others, Talabat, Uber Eats",2,Yes,Maybe,19,Maybe,Maybe,No,Doesn’t matter,Cold food,"Late delivery, Poor packaging, Limited variety",Maybe,3
19,Female,Postgraduate,2165,Off-campus,Public Transport,3-5,Varies,Italian,"Sustainability, Reviews",No,Yes,Talabat,3,Yes,Maybe,26,No,No,Somewhat,Doesn’t matter,Cold food,"Poor packaging, Limited variety, High price",Maybe,3
22,Male,3rd Year,901,Off-campus,Personal Vehicle,1-2,Late night,"Chinese, Others","Speed, Sustainability, Price",Maybe,Yes,"Talabat, Zomato, Others",5,Yes,Maybe,24,Maybe,No,Somewhat,No,Limited menu,"Cold food, Poor packaging",Maybe,5
20,Male,2nd Year,1946,Off-campus,Ride-hailing,3-5,Varies,"Fast Food, Chinese","Variety, Sustainability",Yes,Yes,"Others, Talabat",5,Yes,Yes,35,Yes,Yes,Yes,No,No tracking,"Late delivery, Cold food",Yes,5
23,Female,4th Year,1946,On-campus,Personal Vehicle,3-5,Varies,Chinese,"Sustainability, Reviews",Yes,Yes,Others,3,Maybe,Yes,22,Yes,No,Yes,Doesn’t matter,High prices,High price,No,4
22,Prefer not to say,4th Year,2414,On-campus,Ride-hailing,0,Late night,Indian,"Price, Variety",Yes,Yes,Talabat,3,Yes,Yes,26,Yes,Yes,Somewhat,Doesn’t matter,Cold food,"Cold food, Late delivery",No,1
24,Male,2nd Year,1295,Off-campus,Walk,0,Late night,"Indian, Healthy","Sustainability, Reviews",Maybe,Yes,"Talabat, Others",1,Yes,Maybe,10,No,No,No,No,No tracking,"Limited variety, Poor packaging, Cold food",Maybe,5
20,Male,3rd Year,1856,Off-campus,Bike,1-2,Lunch,"Others, Healthy, Indian","Reviews, Variety",Maybe,Yes,Others,5,Yes,Yes,28,Maybe,Maybe,No,Doesn’t matter,Late delivery,Cold food,Maybe,2
21,Female,4th Year,2640,On-campus,Personal Vehicle,6+,Late night,"Italian, Healthy, Chinese","Quality, Price, Variety",No,Yes,Zomato,5,No,Yes,17,Yes,Maybe,No,Yes,Cold food,"Late delivery, Cold food",No,1
19,Male,3rd Year,1191,Off-campus,Personal Vehicle,1-2,Dinner,"Fast Food, Chinese, Healthy","Variety, Reviews",No,Yes,"Uber Eats, Zomato",3,Yes,Yes,10,Yes,Yes,No,Yes,No tracking,"Late delivery, High price, Cold food",Maybe,4
20,Female,1st Year,732,On-campus,Bike,3-5,Dinner,Others,"Sustainability, Reviews, Price",No,Yes,"Others, Zomato, Talabat",4,Yes,Yes,36,Yes,No,No,Doesn’t matter,No tracking,"Late delivery, Limited variety, Poor packaging",Maybe,3
22,Female,4th Year,559,On-campus,Personal Vehicle,6+,Lunch,"Chinese, Fast Food, Indian","Speed, Quality, Variety",Maybe,Yes,"Others, Zomato, Uber Eats",4,Yes,Yes,24,Maybe,Yes,No,Yes,High prices,"Late delivery, Poor packaging",Maybe,4
23,Female,3rd Year,1856,Off-campus,Personal Vehicle,3-5,Breakfast,"Italian, Chinese","Price, Quality",Maybe,Yes,"Talabat, Others",1,No,Yes,10,Yes,No,No,Doesn’t matter,No tracking,Poor packaging,Yes,1
19,Male,2nd Year,558,On-campus,Ride-hailing,1-2,Breakfast,"Healthy, Italian","Quality, Speed, Price",No,Yes,"Others, Uber Eats, Zomato",4,Yes,Maybe,17,Maybe,No,No,No,No tracking,"High price, Cold food, Poor packaging",Yes,3
24,Male,2nd Year,1313,Off-campus,Ride-hailing,6+,Dinner,"Fast Food, Chinese, Healthy","Sustainability, Reviews",No,Yes,"Others, Uber Eats, Talabat",4,No,Yes,25,Maybe,Maybe,No,Doesn’t matter,No tracking,"Cold food, Poor packaging, Late delivery",No,2
25,Female,1st Year,1718,On-campus,Bike,0,Late night,"Fast Food, Chinese","Sustainability, Price",Yes,Yes,"Uber Eats, Zomato, Others",4,Yes,Maybe,25,Maybe,Yes,Yes,No,Limited menu,High price,Yes,3
23,Female,1st Year,1592,On-campus,Walk,1-2,Lunch,"Others, Healthy","Reviews, Speed, Quality",No,Yes,"Zomato, Others, Talabat",2,Yes,No,20,No,Maybe,No,Yes,Limited menu,"High price, Limited variety, Cold food",Yes,3
26,Male,4th Year,1712,On-campus,Personal Vehicle,6+,Breakfast,"Fast Food, Italian","Quality, Price, Speed",Yes,Yes,Others,1,Yes,No,10,No,Maybe,Yes,Yes,No tracking,"High price, Poor packaging, Limited variety",No,2
20,Female,1st Year,1611,Off-campus,Walk,3-5,Breakfast,"Healthy, Others","Reviews, Sustainability, Quality",Yes,Yes,"Zomato, Others",3,Yes,No,19,Maybe,Maybe,Somewhat,Yes,High prices,"High price, Poor packaging",Yes,5
18,Male,2nd Year,2139,Off-campus,Bike,1-2,Varies,"Chinese, Others","Sustainability, Variety, Quality",Maybe,Yes,"Others, Talabat",4,Yes,Yes,35,Maybe,Yes,Yes,Doesn’t matter,No tracking,"Late delivery, High price",No,5
18,Female,3rd Year,1023,Off-campus,Bike,1-2,Dinner,"Chinese, Italian, Indian","Reviews, Variety, Speed",No,Yes,"Uber Eats, Zomato",2,Yes,Yes,39,No,No,Somewhat,No,Late delivery,"High price, Limited variety",Maybe,3
25,Male,1st Year,1161,On-campus,Ride-hailing,1-2,Late night,"Fast Food, Italian, Indian","Sustainability, Reviews, Variety",Maybe,Yes,"Zomato, Uber Eats, Others",4,No,No,18,No,No,Yes,No,No tracking,High price,No,3
23,Prefer not to say,Postgraduate,1113,On-campus,Personal Vehicle,3-5,Lunch,"Healthy, Indian, Italian","Quality, Sustainability",Yes,Yes,"Talabat, Uber Eats",2,Yes,Yes,43,Maybe,Yes,Somewhat,Yes,No tracking,"Poor packaging, Late delivery, Limited variety",No,4
21,Male,1st Year,1915,Off-campus,Public Transport,1-2,Breakfast,Chinese,"Quality, Reviews, Sustainability",Yes,Yes,"Uber Eats, Talabat",1,Yes,Yes,10,No,No,Yes,Yes,Late delivery,"Cold food, Poor packaging",No,5
22,Male,2nd Year,1950,Off-campus,Bike,6+,Varies,"Fast Food, Healthy","Reviews, Speed, Price",Yes,Yes,Zomato,4,Maybe,Yes,16,Yes,Yes,Yes,No,Cold food,"Limited variety, Late delivery",Maybe,2
19,Male,2nd Year,1725,Off-campus,Personal Vehicle,6+,Dinner,Fast Food,"Variety, Speed",Yes,Yes,"Others, Zomato",2,Yes,No,33,Maybe,Yes,Somewhat,Doesn’t matter,Limited menu,Poor packaging,Maybe,3
28,Male,1st Year,2091,On-campus,Walk,6+,Dinner,Chinese,"Speed, Sustainability",Yes,Yes,"Zomato, Talabat",5,No,Yes,32,Maybe,No,No,Yes,Limited menu,"Limited variety, High price, Late delivery",Maybe,3
22,Female,1st Year,910,Off-campus,Ride-hailing,1-2,Lunch,"Italian, Indian","Quality, Sustainability, Price",Yes,Yes,Talabat,5,Maybe,Yes,24,No,Maybe,No,Doesn’t matter,High prices,"Late delivery, Cold food, Limited variety",No,4
22,Prefer not to say,4th Year,6999,Off-campus,Walk,3-5,Breakfast,"Indian, Fast Food","Variety, Price",Yes,Yes,"Uber Eats, Others",2,Yes,Yes,13,Yes,Yes,No,Yes,Limited menu,"Late delivery, High price, Limited variety",No,4
